module	repository_path	artifact_type	role	provenance_status	principal_output	notes
03_cross_platform_replication	scripts/03_cross_platform_replication/analyze_cross_platform_RSV_replication.py	python_script	cross_platform_replication	CANONICAL	See script source / workflow execution order	
03_cross_platform_replication	scripts/03_cross_platform_replication/gene_architecture/audit_signature_concordance.py	python_script	gene_architecture_audit	CANONICAL	See script source / workflow execution order	Audits concordance of the frozen gene-signature architecture
03_cross_platform_replication	scripts/03_cross_platform_replication/gene_architecture/build_gene_evidence_master.py	python_script	gene_evidence_integration	CANONICAL	DS001_GSE38900_gene_evidence_master.tsv	Builds the authoritative gene-level evidence master
03_cross_platform_replication	scripts/03_cross_platform_replication/gene_architecture/classify_pathogen_response_patterns.py	python_script	pathogen_response_classification	CANONICAL	Frozen 170-gene architecture	Classifies shared-core, influenza-amplified, and RSV-amplified responses
03_cross_platform_replication	scripts/03_cross_platform_replication/gene_architecture/run_signature_sensitivity.py	python_script	signature_sensitivity_analysis	CANONICAL	See script source / workflow execution order	Tests robustness of the frozen signature architecture
04_pathway_analysis	scripts/04_pathway_analysis/audit_gene_set_coverage.R	R_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
04_pathway_analysis	scripts/04_pathway_analysis/audit_pathway_robustness.R	R_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
04_pathway_analysis	scripts/04_pathway_analysis/compare_hallmark_contrasts.R	R_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
04_pathway_analysis	scripts/04_pathway_analysis/compare_reactome_contrasts.R	R_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
04_pathway_analysis	scripts/04_pathway_analysis/create_ranked_gene_lists.py	python_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
04_pathway_analysis	scripts/04_pathway_analysis/fix_leading_edge_audit.R	R_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
04_pathway_analysis	scripts/04_pathway_analysis/freeze_msigdb_gene_sets.R	R_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
04_pathway_analysis	scripts/04_pathway_analysis/plot_session17_pathway_results.R	R_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
04_pathway_analysis	scripts/04_pathway_analysis/run_hallmark_fgsea.R	R_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
04_pathway_analysis	scripts/04_pathway_analysis/run_reactome_fgsea.R	R_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
04_pathway_analysis	scripts/04_pathway_analysis/summarize_preregistered_domains.R	R_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
04_pathway_analysis	scripts/04_pathway_analysis/validate_pathway_inputs.py	python_script	pathway_analysis_or_qc	CANONICAL	See script source / workflow execution order	
05_cellular_composition	scripts/05_cellular_composition/build_cell_composition_cohorts.R	R_script	cellular_composition_analysis	CANONICAL	See script source / workflow execution order	
05_cellular_composition	scripts/05_cellular_composition/build_rsv_composition_replication.R	R_script	cellular_composition_analysis	CANONICAL	See script source / workflow execution order	
05_cellular_composition	scripts/05_cellular_composition/classify_pathway_composition_sensitivity.R	R_script	cellular_composition_analysis	CANONICAL	See script source / workflow execution order	
05_cellular_composition	scripts/05_cellular_composition/prepare_cell_composition_input.R	R_script	cellular_composition_analysis	CANONICAL	See script source / workflow execution order	
05_cellular_composition	scripts/05_cellular_composition/qc_mcp_counter_scores.R	R_script	cellular_composition_analysis	CANONICAL	See script source / workflow execution order	
05_cellular_composition	scripts/05_cellular_composition/run_mcp_counter.R	R_script	cellular_composition_analysis	CANONICAL	See script source / workflow execution order	
05_cellular_composition	scripts/05_cellular_composition/score_representative_pathways.R	R_script	cellular_composition_analysis	CANONICAL	See script source / workflow execution order	
05_cellular_composition	scripts/05_cellular_composition/test_composition_adjusted_pathway_effects.R	R_script	cellular_composition_analysis	CANONICAL	See script source / workflow execution order	
05_cellular_composition	scripts/05_cellular_composition/test_interferon_gene_composition_robustness.R	R_script	cellular_composition_analysis	CANONICAL	See script source / workflow execution order	
05_cellular_composition	scripts/05_cellular_composition/test_mcp_counter_disease_groups.R	R_script	cellular_composition_analysis	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/audit_GSE155925_regulatory_validation_inputs.py	python_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/audit_collectri_coverage.py	python_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/build_regulatory_architecture_classification.py	python_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/build_regulatory_cellular_support_matrix.py	python_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/diagnose_GSE155925_regulatory_discrepancy.py	python_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/freeze_collectri_network.py	python_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/map_regulators_to_frozen_gene_architecture.py	python_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/prepare_GSE283746_regulatory_logCPM.R	R_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/run_GPL6884_TF_activity_limma.R	R_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/run_GPL6884_collectri_ulm.py	python_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/run_GPL10558_TF_activity_limma.R	R_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/run_GPL10558_collectri_ulm.py	python_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/run_GSE155925_TF_activity_limma.R	R_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/run_GSE155925_TF_activity_unadjusted_sensitivity.R	R_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/run_GSE155925_collectri_ulm.py	python_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/run_GSE283746_TF_activity_limma.R	R_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
06_regulatory_analysis	scripts/06_regulatory_analysis/run_GSE283746_collectri_ulm.py	python_script	regulatory_analysis_or_qc	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/audit_GSE155925_direction_reversal.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/audit_GSE155925_pathway_validation.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/build_GSE155925_eligibility.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/build_GSE155925_frozen170_validation.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/build_GSE155925_frozen_pathway_membership.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/compare_GSE155925_age_sensitivity_frozen170.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/compare_GSE155925_models_frozen170.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/multiseason_SIG/build_SIG208_metadata.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/multiseason_SIG/build_original_SIG_expression_metadata_map.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/multiseason_SIG/parse_original_SIG_matrices.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/multiseason_SIG/run_SIG_seasonal_limma.R	R_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/multiseason_SIG/validate_SIG_seasons_frozen_architecture.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/parse_GSE155925_metadata.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/pca_GSE155925_qc.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/qc_GSE155925_counts.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/reconcile_GSE155925_M0_direction.py	python_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/run_GSE155925_DESeq2_primary.R	R_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/run_GSE155925_age_sensitivity.R	R_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/run_GSE155925_model_sensitivity.R	R_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
07_rnaseq_validation	scripts/07_rnaseq_validation/run_GSE155925_preregistered_pathway_GSEA.R	R_script	rnaseq_or_multiseason_validation	CANONICAL	See script source / workflow execution order	
08_proteomics	scripts/08_proteomics/build_Influenza_P01_analysis_inputs.py	python_script	proteomics_validation	CANONICAL	See script source / workflow execution order	
08_proteomics	scripts/08_proteomics/run_Influenza_P01_frozen_pathway_validation_v1.0.R	R_script	proteomics_validation	CANONICAL	See script source / workflow execution order	
08_proteomics	scripts/08_proteomics/run_Influenza_P01_limma_v1.0.R	R_script	proteomics_validation	CANONICAL	See script source / workflow execution order	
08_proteomics	scripts/08_proteomics/validate_Influenza_P01_frozen37_regulatory_programs_v1.0.py	python_script	proteomics_validation	CANONICAL	See script source / workflow execution order	
08_proteomics	scripts/08_proteomics/validate_Influenza_P01_frozen170_v1.0.py	python_script	proteomics_validation	CANONICAL	See script source / workflow execution order	
09_crispr	scripts/09_crispr/downstream_analysis/results_snapshot/CRISPR_FROZEN7_DOMAIN_CONVERGENCE_v1.0.tsv	frozen_result_snapshot	manuscript_supporting_result	CANONICAL_SUPPORT	NA	Frozen CRISPR result snapshot; original Session26 execution script was not recovered
09_crispr	scripts/09_crispr/downstream_analysis/results_snapshot/CRISPR_FROZEN37_DRIVER_TARGET_RANK_ENRICHMENT_v1.0.tsv	frozen_result_snapshot	manuscript_supporting_result	CANONICAL_SUPPORT	NA	Frozen CRISPR result snapshot; original Session26 execution script was not recovered
09_crispr	scripts/09_crispr/downstream_analysis/results_snapshot/CRISPR_FROZEN58_PATHWAY_RANK_ENRICHMENT_v1.0.tsv	frozen_result_snapshot	manuscript_supporting_result	CANONICAL_SUPPORT	NA	Frozen CRISPR result snapshot; original Session26 execution script was not recovered
09_crispr	scripts/09_crispr/downstream_analysis/results_snapshot/CRISPR_FROZEN170_GENE_EVIDENCE_MASTER_v1.0.tsv	frozen_result_snapshot	manuscript_supporting_result	CANONICAL_SUPPORT	NA	Frozen CRISPR result snapshot; original Session26 execution script was not recovered
09_crispr	scripts/09_crispr/downstream_analysis/results_snapshot/CRISPR_PRIMARY_RANK_ENRICHMENT_v1.0.tsv	frozen_result_snapshot	manuscript_supporting_result	CANONICAL_SUPPORT	NA	Frozen CRISPR result snapshot; original Session26 execution script was not recovered
09_crispr	scripts/09_crispr/downstream_analysis/results_snapshot/CRISPR_THRESHOLD_ENRICHMENT_v1.0.tsv	frozen_result_snapshot	manuscript_supporting_result	CANONICAL_SUPPORT	NA	Frozen CRISPR result snapshot; original Session26 execution script was not recovered
09_crispr	scripts/09_crispr/frozen_specifications/CRISPR_DATASET_REGISTER_v1.0.tsv	frozen_specification	provenance_and_analysis_specification	CANONICAL_SUPPORT	NA	Frozen CRISPR specification/provenance artifact; not executable code
09_crispr	scripts/09_crispr/frozen_specifications/CRISPR_SCREEN_SCORE_RULES_FROZEN_v1.0.txt	frozen_specification	provenance_and_analysis_specification	CANONICAL_SUPPORT	NA	Frozen CRISPR specification/provenance artifact; not executable code
09_crispr	scripts/09_crispr/frozen_specifications/CRISPR_SESSION26_FINAL_PRODUCER_TRACE_PUBLIC_v1.txt	frozen_specification	provenance_and_analysis_specification	CANONICAL_SUPPORT	NA	Frozen CRISPR specification/provenance artifact; not executable code
09_crispr	scripts/09_crispr/frozen_specifications/CRISPR_SESSION26_PROVENANCE_DECISION_v1.0.txt	frozen_specification	provenance_and_analysis_specification	CANONICAL_SUPPORT	NA	Frozen CRISPR specification/provenance artifact; not executable code
09_crispr	scripts/09_crispr/frozen_specifications/CRISPR_VALIDATION_ANALYSIS_SPEC_FROZEN_v1.0.txt	frozen_specification	provenance_and_analysis_specification	CANONICAL_SUPPORT	NA	Frozen CRISPR specification/provenance artifact; not executable code
09_crispr	scripts/09_crispr/frozen_specifications/CRISPR_VALIDATION_INPUT_MANIFEST_FROZEN_v1.0.tsv	frozen_specification	provenance_and_analysis_specification	CANONICAL_SUPPORT	NA	Frozen CRISPR specification/provenance artifact; not executable code
10_single_cell	scripts/10_single_cell/GSE149689_supportive_localization/run_Session38C_detection_robustness_v1.py	python_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/GSE149689_supportive_localization/run_Session38C_extract_pseudobulk_v1.1.py	python_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/GSE149689_supportive_localization/run_Session38C_full_library_sizes_v1.py	python_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/GSE149689_supportive_localization/run_Session38C_localization_inference_v1.py	python_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/audit_GSE283746_ISG_state_coverage.py	python_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/audit_GSE283746_all_barcode_mapping.py	python_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/build_GSE283746_NaiveCD4_ISG_pseudobulk.py	python_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/build_GSE283746_primary_pseudobulk.py	python_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/compare_GSE283746_NaiveCD4_ISG_frozen170.py	python_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/run_GSE283746_ISG_state_abundance.R	R_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/run_GSE283746_NaiveCD4_ISG_edgeR.R	R_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/run_GSE283746_primary_edgeR.R	R_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
10_single_cell	scripts/10_single_cell/validate_GSE283746_frozen170.py	python_script	single_cell_analysis	CANONICAL	See script source / workflow execution order	
11_multilayer_integration	scripts/11_multilayer_integration/run_Session38A_evidence_weighted_prioritization_v1.1.py	python_script	multilayer_integration	CANONICAL	See script source / workflow execution order	
11_multilayer_integration	scripts/11_multilayer_integration/run_Session38A_weight_sensitivity_v1.py	python_script	multilayer_integration	CANONICAL	See script source / workflow execution order	
11_multilayer_integration	scripts/11_multilayer_integration/run_Session38B_molecular_functional_convergence_v1.1.py	python_script	multilayer_integration	CANONICAL	See script source / workflow execution order	
11_multilayer_integration	scripts/11_multilayer_integration/run_Session38D_crossseason_stability_v1.1.py	python_script	multilayer_integration	CANONICAL	See script source / workflow execution order	
12_figures	scripts/12_figures/main/generate_Figure1_SUBMISSION_v15.py	python_script	main_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript main-figure generator
12_figures	scripts/12_figures/main/generate_Figure2_SUBMISSION_v5.py	python_script	main_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript main-figure generator
12_figures	scripts/12_figures/main/generate_Figure3_SUBMISSION_v6.py	python_script	main_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript main-figure generator
12_figures	scripts/12_figures/main/generate_Figure4_SUBMISSION_v8.py	python_script	main_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript main-figure generator
12_figures	scripts/12_figures/main/generate_Figure5_SUBMISSION_v14.py	python_script	main_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript main-figure generator
12_figures	scripts/12_figures/main/generate_Figure6_SUBMISSION_v9.py	python_script	main_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript main-figure generator
12_figures	scripts/12_figures/main/generate_Figure7_SPLIT_v3.py	python_script	main_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript main-figure generator
12_figures	scripts/12_figures/main/generate_Figure8_TWO_PANEL_v2.py	python_script	main_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript main-figure generator
12_figures	scripts/12_figures/supplementary/generate_FigureS1_discovery_QC_v6.py	python_script	supplementary_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript supplementary-figure generator
12_figures	scripts/12_figures/supplementary/generate_FigureS2_DE_robustness_v4.py	python_script	supplementary_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript supplementary-figure generator
12_figures	scripts/12_figures/supplementary/generate_FigureS3_signature_robustness_v10.py	python_script	supplementary_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript supplementary-figure generator
12_figures	scripts/12_figures/supplementary/generate_FigureS4_influenza_pathways_v4.py	python_script	supplementary_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript supplementary-figure generator
12_figures	scripts/12_figures/supplementary/generate_FigureS5_composition_robustness_v14.py	python_script	supplementary_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript supplementary-figure generator
12_figures	scripts/12_figures/supplementary/generate_FigureS6_regulatory_architecture_v11.py	python_script	supplementary_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript supplementary-figure generator
12_figures	scripts/12_figures/supplementary/generate_FigureS7_crispr_functional_convergence_v9.py	python_script	supplementary_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript supplementary-figure generator
12_figures	scripts/12_figures/supplementary/generate_FigureS8_proteomic_validation_v7.py	python_script	supplementary_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript supplementary-figure generator
12_figures	scripts/12_figures/supplementary/generate_Supplementary_Figure_S9_v2.py	python_script	supplementary_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript supplementary-figure generator
12_figures	scripts/12_figures/supplementary/generate_Supplementary_Figure_S10_MANUSCRIPT.py	python_script	supplementary_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript supplementary-figure generator
12_figures	scripts/12_figures/supplementary/generate_Supplementary_Figure_S11_MANUSCRIPT.py	python_script	supplementary_figure_generator	CANONICAL	See workflow/FIGURE_TO_SCRIPT_MAP.tsv	Canonical manuscript supplementary-figure generator
13_tables	scripts/13_tables/supplementary/session37/generate_supplementary_tables_v1.py	python_script	supplementary_table_generation_or_provenance	CANONICAL_SUPPORT	See workflow/TABLE_TO_SCRIPT_MAP.tsv	Supplementary-table generation/provenance
13_tables	scripts/13_tables/supplementary/session37/qa_supplementary_tables_v1.py	python_script	supplementary_table_generation_or_provenance	CANONICAL_SUPPORT	See workflow/TABLE_TO_SCRIPT_MAP.tsv	Supplementary-table generation/provenance
13_tables	scripts/13_tables/supplementary/session39_provenance/build_Supplementary_Tables_S1_S13_Manuscript_Register.py	python_script	supplementary_table_generation_or_provenance	CANONICAL_SUPPORT	See workflow/TABLE_TO_SCRIPT_MAP.tsv	Supplementary-table generation/provenance
13_tables	scripts/13_tables/supplementary/session39_provenance/install_Session39_Supplementary_Tables_S11_S13.sh	shell_script	supplementary_table_generation_or_provenance	CANONICAL_SUPPORT	See workflow/TABLE_TO_SCRIPT_MAP.tsv	Supplementary-table source staging/provenance
13_tables	scripts/13_tables/supplementary/session39_provenance/stage_Supplementary_Table_S11_sources.sh	shell_script	supplementary_table_generation_or_provenance	CANONICAL_SUPPORT	See workflow/TABLE_TO_SCRIPT_MAP.tsv	Supplementary-table source staging/provenance
13_tables	scripts/13_tables/supplementary/session39_provenance/stage_Supplementary_Table_S12_sources.sh	shell_script	supplementary_table_generation_or_provenance	CANONICAL_SUPPORT	See workflow/TABLE_TO_SCRIPT_MAP.tsv	Supplementary-table source staging/provenance
13_tables	scripts/13_tables/supplementary/session39_provenance/stage_Supplementary_Table_S13_sources.sh	shell_script	supplementary_table_generation_or_provenance	CANONICAL_SUPPORT	See workflow/TABLE_TO_SCRIPT_MAP.tsv	Supplementary-table source staging/provenance
